Library_Name	Run	Sample_Name	geo_loc_name
9404	SRR1946081	9404	Sweden
9405	SRR1946082	9405	Sweden
9407	SRR1946083	9407	Sweden
9408	SRR1946084	9408	Sweden
9409	SRR1946085	9409	Sweden
9412	SRR1946086	9412	Sweden
9413	SRR1946087	9413	Sweden
9416	SRR1946088	9416	Sweden
9421	SRR1946089	9421	Sweden
9427	SRR1946090	9427	Sweden
9433	SRR1946091	9433	Sweden
9436	SRR1946092	9436	Sweden
9437	SRR1946093	9437	Sweden
9442	SRR1946094	9442	Sweden
9450	SRR1946095	9450	Sweden
9451	SRR1946096	9451	Sweden
9452	SRR1946097	9452	Sweden
9453	SRR1946098	9453	Sweden
9454	SRR1946099	9454	Sweden
9455	SRR1946100	9455	Sweden
9470	SRR1946101	9470	Sweden
9471	SRR1946102	9471	Sweden
9476	SRR1946103	9476	Sweden
9481	SRR1946104	9481	Sweden
9503	SRR1946105	9503	United Kingdom
9506	SRR1946106	9506	Portugal
9507	SRR1946107	9507	Portugal
9508	SRR1946108	9508	Portugal
9509	SRR1946109	9509	Portugal
9510	SRR1946110	9510	Portugal
9511	SRR1946111	9511	Portugal
9512	SRR1946112	9512	Portugal
9513	SRR1946113	9513	Spain
9514	SRR1946114	9514	Spain
9515	SRR1946115	9515	Spain
9517	SRR1946116	9517	Spain
9518	SRR1946117	9518	Spain
9519	SRR1946118	9519	Spain
9520	SRR1946119	9520	Spain
9521	SRR1946120	9521	Spain
9522	SRR1946121	9522	Spain
9523	SRR1946122	9523	Spain
9524	SRR1946123	9524	Spain
9525	SRR1946124	9525	Spain
9526	SRR1946125	9526	Spain
9527	SRR1946126	9527	Spain
9528	SRR1946127	9528	Spain
9529	SRR1946128	9529	Spain
9530	SRR1946129	9530	Spain
9531	SRR1946130	9531	Spain
9532	SRR1946131	9532	Spain
9533	SRR1946132	9533	Spain
9534	SRR1946133	9534	Spain
9535	SRR1946134	9535	Spain
9536	SRR1946135	9536	Spain
9537	SRR1946136	9537	Spain
9539	SRR1946137	9539	Spain
9540	SRR1946138	9540	Spain
9541	SRR1946139	9541	Spain
9542	SRR1946140	9542	Spain
9543	SRR1946141	9543	Spain
9544	SRR1946142	9544	Spain
9545	SRR1946143	9545	Spain
9546	SRR1946144	9546	Spain
9547	SRR1946145	9547	Spain
9548	SRR1946146	9548	Spain
9549	SRR1946147	9549	Spain
9550	SRR1946148	9550	Spain
9551	SRR1946149	9551	Spain
9552	SRR1946150	9552	Spain
9553	SRR1946151	9553	Spain
9554	SRR1946152	9554	Spain
9555	SRR1946153	9555	Spain
9556	SRR1946154	9556	Spain
9557	SRR1946155	9557	Spain
9558	SRR1946156	9558	Spain
9559	SRR1946157	9559	Spain
9560	SRR1946158	9560	Spain
9561	SRR1946159	9561	Spain
9562	SRR1946160	9562	Spain
9564	SRR1946161	9564	Spain
9565	SRR1946162	9565	Spain
9567	SRR1946163	9567	Spain
9568	SRR1946164	9568	Spain
9569	SRR1946165	9569	Spain
9571	SRR1946166	9571	Spain
9573	SRR1946167	9573	Spain
9574	SRR1946168	9574	Spain
9576	SRR1946169	9576	Spain
9577	SRR1946170	9577	Spain
9578	SRR1946171	9578	Spain
9579	SRR1946172	9579	Spain
9581	SRR1946173	9581	Spain
9582	SRR1946174	9582	Spain
9583	SRR1946175	9583	Spain
9584	SRR1946176	9584	Spain
9585	SRR1946177	9585	Spain
9586	SRR1946178	9586	Spain
9587	SRR1946179	9587	Spain
9588	SRR1946180	9588	Spain
9589	SRR1946181	9589	Spain
9590	SRR1946182	9590	Spain
9591	SRR1946183	9591	Spain
9592	SRR1946184	9592	Spain
9593	SRR1946185	9593	Spain
9594	SRR1946186	9594	Spain
9595	SRR1946187	9595	Spain
9596	SRR1946188	9596	Spain
9597	SRR1946189	9597	Spain
9598	SRR1946190	9598	Spain
9599	SRR1946191	9599	Spain
9600	SRR1946192	9600	Spain
9601	SRR1946193	9601	Spain
9602	SRR1946194	9602	Spain
9606	SRR1946195	9606	Morocco
9607	SRR1946196	9607	Russia
9608	SRR1946197	9608	Russia
9609	SRR1946198	9609	Russia
9610	SRR1946199	9610	Russia
9611	SRR1946200	9611	Russia
9612	SRR1946201	9612	Russia
9613	SRR1946202	9613	Russia
9615	SRR1946203	9615	Russia
9616	SRR1946204	9616	Russia
9617	SRR1946205	9617	Russia
9619	SRR1946206	9619	Russia
9620	SRR1946207	9620	Russia
9621	SRR1946208	9621	Russia
